;Movie name;Rating;IMDb name;genre;IMDb rating count;IMDb rating;metascore;year;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Family;Fantasy;History;Horror;Music;Musical;Mystery;PG;R;Romance;Sport;Thriller;War;Western
47;Barfi ;8.3;Barfi! ;Comedy,Drama,Romance;66627;8.1;;2012.0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48;The departed ;8.3;The Departed ;Crime,Drama,Thriller;1038187;8.5;85.0;2006.0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
49;Still alice ;8.3;Still Alice ;Drama,contentRating,actor,Person,url,name,Person,url,name,Person,url,name,Person,url,name;112927;7.5;72.0;2014.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;Zootopia ;8.3;Zootropolis ;Animation,Adventure,Comedy,Crime,Family,Mystery;361091;8.0;78.0;2016.0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
51;Whisper of the heart ;8.3;Mimi wo sumaseba ;Animation,Drama,Family,Music,Romance;38651;8.0;;1995.0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0
52;Rang de basanti ;8.2;Rang De Basanti ;Comedy,Drama;96951;8.2;;2006.0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;The road to el dorado ;8.2;The Road to El Dorado ;Animation,Adventure,Comedy,Family,Romance;72322;6.9;51.0;2000.0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
54;Mission impossible: rogue nation ;8.2;Mission: Impossible - Rogue Nation ;Action,Adventure,Thriller;298013;7.4;75.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
55;The wolf of wall street ;8.2;The Wolf of Wall Street ;Biography,Comedy,Crime,Drama;988828;8.2;75.0;2013.0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;Patame inverted ;8.2;Sakasama no Patema ;Animation,Adventure,Drama,Fantasy,Romance;5921;7.4;66.0;2013.0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
57;Spiderman homecoming ;8.2;Spider-Man Homecoming ;Action,Adventure;371399;7.5;73.0;2017.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
